행정동코드,시도명,시군구명,읍면동명,2020인구수,2019인구수,면적,2019인구밀도,2020인구밀도
3014065500,대전광역시,중구,용두동,10022,10129,0.8,12661.25,12527.5
3014065500,대전광역시,중구,용두동,10022,10129,0.8,12661.25,12527.5
3014065500,대전광역시,중구,용두동,10022,10129,0.8,12661.25,12527.5
3014065500,대전광역시,중구,용두동,10022,10129,0.8,12661.25,12527.5
3014074000,대전광역시,중구,산성동,28146,28520,41.52,686.8978805394989,677.8901734104046
3014074000,대전광역시,중구,산성동,28146,28520,41.52,686.8978805394989,677.8901734104046
3014074000,대전광역시,중구,산성동,28146,28520,41.52,686.8978805394989,677.8901734104046
3014074000,대전광역시,중구,산성동,28146,28520,41.52,686.8978805394989,677.8901734104046
3014074000,대전광역시,중구,산성동,28146,28520,41.52,686.8978805394989,677.8901734104046
3014074000,대전광역시,중구,산성동,28146,28520,41.52,686.8978805394989,677.8901734104046
3111051000,울산광역시,중구,학성동,10293,10436,0.93,11221.505376344085,11067.741935483871
3111051000,울산광역시,중구,학성동,10293,10436,0.93,11221.505376344085,11067.741935483871
3111051000,울산광역시,중구,학성동,10293,10436,0.93,11221.505376344085,11067.741935483871
3111051000,울산광역시,중구,학성동,10293,10436,0.93,11221.505376344085,11067.741935483871
3111051000,울산광역시,중구,학성동,10293,10436,0.93,11221.505376344085,11067.741935483871
3111051000,울산광역시,중구,학성동,10293,10436,0.93,11221.505376344085,11067.741935483871
3111058500,울산광역시,중구,중앙동,13806,14346,1.83,7839.3442622950815,7544.262295081967
3111058500,울산광역시,중구,중앙동,13806,14346,1.83,7839.3442622950815,7544.262295081967
3111058500,울산광역시,중구,중앙동,13806,14346,1.83,7839.3442622950815,7544.262295081967
3111058500,울산광역시,중구,중앙동,13806,14346,1.83,7839.3442622950815,7544.262295081967
3111058500,울산광역시,중구,중앙동,13806,14346,1.83,7839.3442622950815,7544.262295081967
3111058500,울산광역시,중구,중앙동,13806,14346,1.83,7839.3442622950815,7544.262295081967
3111059000,울산광역시,중구,우정동,20301,20583,1.5,13722.0,13534.0
3111059000,울산광역시,중구,우정동,20301,20583,1.5,13722.0,13534.0
3111059000,울산광역시,중구,우정동,20301,20583,1.5,13722.0,13534.0
3111059000,울산광역시,중구,우정동,20301,20583,1.5,13722.0,13534.0
3111059000,울산광역시,중구,우정동,20301,20583,1.5,13722.0,13534.0
3111059000,울산광역시,중구,우정동,20301,20583,1.5,13722.0,13534.0
3111060000,울산광역시,중구,태화동,34241,34990,5.53,6327.305605786618,6191.862567811934
3111060000,울산광역시,중구,태화동,34241,34990,5.53,6327.305605786618,6191.862567811934
3111060000,울산광역시,중구,태화동,34241,34990,5.53,6327.305605786618,6191.862567811934
3111060000,울산광역시,중구,태화동,34241,34990,5.53,6327.305605786618,6191.862567811934
3111060000,울산광역시,중구,태화동,34241,34990,5.53,6327.305605786618,6191.862567811934
3111060000,울산광역시,중구,태화동,34241,34990,5.53,6327.305605786618,6191.862567811934
3111061000,울산광역시,중구,다운동,23598,25002,8.96,2790.4017857142853,2633.705357142857
3111061000,울산광역시,중구,다운동,23598,25002,8.96,2790.4017857142853,2633.705357142857
3111061000,울산광역시,중구,다운동,23598,25002,8.96,2790.4017857142853,2633.705357142857
3111061000,울산광역시,중구,다운동,23598,25002,8.96,2790.4017857142853,2633.705357142857
3111061000,울산광역시,중구,다운동,23598,25002,8.96,2790.4017857142853,2633.705357142857
3111061000,울산광역시,중구,다운동,23598,25002,8.96,2790.4017857142853,2633.705357142857
3111065000,울산광역시,중구,성안동,21275,21639,7.14,3030.672268907563,2979.6918767507004
3111065000,울산광역시,중구,성안동,21275,21639,7.14,3030.672268907563,2979.6918767507004
3111065000,울산광역시,중구,성안동,21275,21639,7.14,3030.672268907563,2979.6918767507004
3111065000,울산광역시,중구,성안동,21275,21639,7.14,3030.672268907563,2979.6918767507004
3111065000,울산광역시,중구,성안동,21275,21639,7.14,3030.672268907563,2979.6918767507004
3111065000,울산광역시,중구,성안동,21275,21639,7.14,3030.672268907563,2979.6918767507004
1117051000,서울특별시,용산구,후암동,17831,18128,0.86,21079.069767441862,20733.720930232557
1117053000,서울특별시,용산구,남영동,7770,7831,1.19,6580.672268907563,6529.411764705883
1117055500,서울특별시,용산구,청파동,19881,20018,0.91,21997.802197802197,21847.252747252747
1117058000,서울특별시,용산구,효창동,10270,8967,0.44,20379.545454545456,23340.909090909092
1117059000,서울특별시,용산구,용문동,12404,12581,0.28,44932.142857142855,44299.99999999999
1117062500,서울특별시,용산구,한강로동,18243,17790,2.9,6134.48275862069,6290.689655172414
1117068500,서울특별시,용산구,한남동,21120,20563,3.01,6831.56146179402,7016.611295681064
1117069000,서울특별시,용산구,서빙고동,13348,13506,2.8,4823.571428571428,4767.142857142858
1120053500,서울특별시,성동구,왕십리도선동,27239,27384,0.72,38033.333333333336,37831.944444444445
1120054000,서울특별시,성동구,마장동,23204,23478,1.06,22149.056603773584,21890.566037735847
1120055000,서울특별시,성동구,사근동,11758,11767,1.11,10600.9009009009,10592.792792792792
1120058000,서울특별시,성동구,응봉동,15966,16193,0.57,28408.771929824565,28010.526315789477
1120064500,서울특별시,성동구,옥수동,26885,27013,1.95,13852.820512820514,13787.179487179488
1120072000,서울특별시,성동구,송정동,10953,11181,0.68,16442.647058823528,16107.35294117647
1120079000,서울특별시,성동구,용답동,12103,13428,2.32,5787.931034482759,5216.810344827587
1121571000,서울특별시,광진구,화양동,22252,21797,1.16,18790.51724137931,19182.758620689656
1121573000,서울특별시,광진구,군자동,19894,19967,0.74,26982.432432432433,26883.783783783783
1121581000,서울특별시,광진구,광장동,35814,36020,2.39,15071.12970711297,14984.937238493723
1123053600,서울특별시,동대문구,용신동,30868,30589,1.61,18999.378881987577,19172.670807453414
1123054500,서울특별시,동대문구,제기동,24928,25235,1.18,21385.593220338986,21125.42372881356
1123070500,서울특별시,동대문구,청량리동,20995,21656,1.2,18046.666666666668,17495.833333333336
1123071000,서울특별시,동대문구,회기동,10299,10364,0.76,13636.842105263158,13551.315789473683
1126056500,서울특별시,중랑구,면목본동,35269,35701,0.73,48905.479452054795,48313.69863013699
1126065500,서울특별시,중랑구,망우본동,30513,31378,2.88,10895.138888888889,10594.791666666668
1129052500,서울특별시,성북구,성북동,17031,17231,2.85,6045.964912280701,5975.78947368421
1129055500,서울특별시,성북구,삼선동,24182,26252,0.89,29496.629213483146,27170.786516853932
1129060000,서울특별시,성북구,안암동,15487,15358,1.32,11634.848484848484,11732.575757575756
1129070500,서울특별시,성북구,종암동,40034,40663,1.46,27851.3698630137,27420.54794520548
1129081000,서울특별시,성북구,석관동,35789,35198,1.68,20951.190476190477,21302.97619047619
1130553400,서울특별시,강북구,삼양동,25100,26036,0.95,27406.315789473687,26421.05263157895
1130553500,서울특별시,강북구,미아동,22263,22593,0.73,30949.31506849315,30497.260273972603
1130554500,서울특별시,강북구,송중동,30682,28657,1.22,23489.344262295082,25149.180327868853
1130557500,서울특별시,강북구,삼각산동,32533,33098,0.62,53383.87096774194,52472.58064516129
1130564500,서울특별시,강북구,우이동,21115,21432,10.95,1957.2602739726028,1928.310502283105
1130566000,서울특별시,강북구,인수동,32055,32747,2.93,11176.450511945392,10940.273037542662
1135061900,서울특별시,노원구,중계본동,25572,26439,1.97,13420.812182741118,12980.710659898477
1138051000,서울특별시,은평구,녹번동,37970,37304,1.79,20840.22346368715,21212.290502793294
1138057000,서울특별시,은평구,대조동,27377,31874,0.85,37498.82352941176,32208.235294117647
1138062500,서울특별시,은평구,역촌동,47534,48846,1.16,42108.620689655174,40977.58620689656
1138065000,서울특별시,은평구,수색동,8714,9804,1.29,7600.0,6755.038759689923
1138069000,서울특별시,은평구,진관동,57683,57173,11.52,4962.934027777778,5007.204861111111
